Cmdline: /system/bin/simpleperf record -p 30765 --duration 8 -o /data/local/tmp/perf.data
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 14060
Event count: 5616537326

Children  Self   Shared Object                                                                                                                                   Symbol
0.16%     0.16%  [JIT app cache]                                                                                                                                 java.lang.String.fillBytes
0.16%     0.16%  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                  scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::deallocate(void*, scudo::Chunk::Origin, unsigned long, unsigned long)
0.16%     0.16%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c8c960]
0.16%     0.16%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c832a8]
0.16%     0.16%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83338]
0.15%     0.15%  /apex/com.android.i18n/lib64/libicuuc.so                                                                                                        ucnv_toUnicode_UTF8(UConverterToUnicodeArgs*, UErrorCode*) (.llvm.16605965710390488859)
0.15%     0.15%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c9d474]
0.15%     0.15%  /apex/com.android.art/lib64/libart.so                                                                                                           art::String_fillBytesLatin1(_JNIEnv*, _jobject*, _jbyteArray*, int) (.__uniq.211321754789976184382062795672362477106)
0.15%     0.15%  [JIT app cache]                                                                                                                                 java.lang.AbstractStringBuilder.putStringAt
0.14%     0.14%  /data/app/~~VakrlQyhRfUckFhfo29hWA==/com.example.mobilenetv2tfliteapp-QlADsUZjk9R6jXpwlMlotw==/base.apk!/lib/arm64-v8a/libonnxruntime.so        libonnxruntime.so[+c83548]
